Date,ウクライナ 情勢,天然ガス,インフレ,円安,利上げ,original_event
2022-02-20,13,19,45,5,15,2022-03-07
2022-02-21,18,28,54,5,14,2022-03-07
2022-02-22,26,37,47,6,15,2022-03-07
2022-02-23,25,49,51,5,8,2022-03-07
2022-02-24,100,100,89,9,27,2022-03-07
2022-02-25,66,81,70,5,20,2022-03-07
2022-02-26,40,70,46,5,13,2022-03-07
2022-02-27,45,83,64,5,13,2022-03-07
2022-02-28,46,55,100,7,61,2022-03-07
2022-03-01,32,67,83,6,29,2022-03-07
2022-03-02,33,52,84,7,78,2022-03-07
2022-03-03,34,45,77,6,41,2022-03-07
2022-03-04,36,52,74,4,20,2022-03-07
2022-03-05,27,30,66,5,11,2022-03-07
2022-03-06,22,30,63,5,10,2022-03-07
2022-03-07,25,48,71,6,18,2022-03-07
2022-03-08,25,46,71,7,19,2022-03-07
2022-03-09,27,49,79,5,20,2022-03-07
2022-03-10,25,30,86,9,23,2022-03-07
2022-03-11,21,25,89,19,22,2022-03-07
2022-03-12,20,20,69,12,16,2022-03-07
2022-03-13,21,16,74,9,15,2022-03-07
2022-03-14,22,25,82,32,34,2022-03-07
2022-03-15,20,16,70,25,54,2022-03-07
2022-03-16,19,19,70,22,94,2022-03-07
2022-03-17,18,17,90,21,100,2022-03-07
2022-03-18,15,16,66,22,44,2022-03-07
2022-03-19,14,10,72,15,20,2022-03-07
2022-03-20,12,12,100,11,10,2022-03-07
2022-03-21,14,15,54,11,23,2022-03-07
2022-03-22,15,25,82,100,45,2022-03-07
2022-03-07,91,83,71,4,18,2022-03-22
2022-03-08,90,79,71,5,19,2022-03-22
2022-03-09,100,84,79,4,20,2022-03-22
2022-03-10,91,51,87,6,23,2022-03-22
2022-03-11,75,42,90,13,22,2022-03-22
2022-03-12,74,34,69,8,16,2022-03-22
2022-03-13,77,28,75,6,15,2022-03-22
2022-03-14,79,42,82,22,34,2022-03-22
2022-03-15,73,28,70,17,54,2022-03-22
2022-03-16,68,33,71,15,94,2022-03-22
2022-03-17,66,28,91,14,100,2022-03-22
2022-03-18,54,28,66,15,44,2022-03-22
2022-03-19,52,18,72,10,20,2022-03-22
2022-03-20,43,20,100,7,10,2022-03-22
2022-03-21,52,26,55,7,23,2022-03-22
2022-03-22,56,42,83,68,45,2022-03-22
2022-03-23,52,76,67,30,23,2022-03-22
2022-03-24,56,100,58,31,28,2022-03-22
2022-03-25,47,46,50,22,21,2022-03-22
2022-03-26,49,35,48,15,14,2022-03-22
2022-03-27,37,31,46,13,19,2022-03-22
2022-03-28,38,46,75,100,35,2022-03-22
2022-03-29,39,32,64,56,19,2022-03-22
2022-03-30,37,46,65,32,19,2022-03-22
2022-03-31,31,49,50,16,16,2022-03-22
2022-04-01,32,84,49,15,18,2022-03-22
2022-04-02,30,36,48,11,12,2022-03-22
2022-04-03,31,33,44,12,9,2022-03-22
2022-04-04,44,44,50,13,14,2022-03-22
2022-04-05,40,62,61,13,17,2022-03-22
2022-04-06,36,43,71,18,25,2022-03-22
2022-03-24,100,100,64,26,59,2022-04-08
2022-03-25,83,46,55,19,44,2022-04-08
2022-03-26,87,35,53,13,30,2022-04-08
2022-03-27,66,31,51,10,40,2022-04-08
2022-03-28,68,46,82,83,75,2022-04-08
2022-03-29,70,32,71,46,40,2022-04-08
2022-03-30,66,46,72,26,41,2022-04-08
2022-03-31,55,49,55,13,34,2022-04-08
2022-04-01,56,84,54,12,38,2022-04-08
2022-04-02,54,36,53,10,25,2022-04-08
2022-04-03,56,33,48,10,19,2022-04-08
2022-04-04,78,44,55,11,29,2022-04-08
2022-04-05,71,62,67,11,37,2022-04-08
2022-04-06,65,43,78,15,54,2022-04-08
2022-04-07,69,43,58,10,37,2022-04-08
2022-04-08,65,54,60,10,32,2022-04-08
2022-04-09,59,32,54,12,32,2022-04-08
2022-04-10,52,28,44,7,27,2022-04-08
2022-04-11,65,58,69,24,34,2022-04-08
2022-04-12,71,69,100,20,54,2022-04-08
2022-04-13,62,45,83,81,73,2022-04-08
2022-04-14,64,59,77,39,100,2022-04-08
2022-04-15,64,55,59,27,46,2022-04-08
2022-04-16,58,40,53,17,28,2022-04-08
2022-04-17,60,36,55,16,17,2022-04-08
2022-04-18,74,84,66,35,51,2022-04-08
2022-04-19,60,76,78,100,75,2022-04-08
2022-04-20,69,68,85,92,78,2022-04-08
2022-04-21,66,55,73,44,77,2022-04-08
2022-04-22,60,50,64,29,62,2022-04-08
2022-04-23,49,23,51,22,52,2022-04-08
2022-06-05,90,34,23,9,3,2022-06-20
2022-06-06,99,41,34,22,7,2022-06-20
2022-06-07,94,57,46,51,9,2022-06-20
2022-06-08,100,61,42,49,7,2022-06-20
2022-06-09,93,73,62,40,16,2022-06-20
2022-06-10,88,53,55,28,14,2022-06-20
2022-06-11,80,25,48,17,10,2022-06-20
2022-06-12,69,25,48,19,8,2022-06-20
2022-06-13,79,50,75,100,22,2022-06-20
2022-06-14,72,100,64,60,32,2022-06-20
2022-06-15,70,77,92,45,97,2022-06-20
2022-06-16,77,68,100,38,100,2022-06-20
2022-06-17,72,41,65,36,38,2022-06-20
2022-06-18,69,26,43,25,15,2022-06-20
2022-06-19,61,33,43,29,16,2022-06-20
2022-06-20,71,57,43,31,13,2022-06-20
2022-06-21,69,82,47,60,13,2022-06-20
2022-06-22,75,51,48,36,12,2022-06-20
2022-06-23,77,54,43,24,10,2022-06-20
2022-06-24,66,49,34,19,8,2022-06-20
2022-06-25,69,31,27,15,4,2022-06-20
2022-06-26,57,35,36,16,6,2022-06-20
2022-06-27,65,57,37,18,7,2022-06-20
2022-06-28,63,51,43,20,7,2022-06-20
2022-06-29,63,51,38,22,6,2022-06-20
2022-06-30,80,49,37,22,6,2022-06-20
2022-07-01,68,89,33,27,6,2022-06-20
2022-07-02,50,38,29,17,3,2022-06-20
2022-07-03,68,44,31,22,5,2022-06-20
2022-07-04,70,52,35,20,7,2022-06-20
2022-07-05,68,66,38,17,8,2022-06-20
2022-06-07,94,57,46,51,9,2022-06-22
2022-06-08,100,61,42,49,8,2022-06-22
2022-06-09,93,73,62,40,16,2022-06-22
2022-06-10,88,53,55,28,13,2022-06-22
2022-06-11,80,25,48,17,9,2022-06-22
2022-06-12,69,25,48,19,7,2022-06-22
2022-06-13,79,50,75,100,20,2022-06-22
2022-06-14,72,100,64,60,31,2022-06-22
2022-06-15,70,77,92,45,93,2022-06-22
2022-06-16,77,68,100,38,100,2022-06-22
2022-06-17,72,41,65,36,38,2022-06-22
2022-06-18,69,26,43,25,14,2022-06-22
2022-06-19,61,33,43,29,15,2022-06-22
2022-06-20,71,57,43,31,14,2022-06-22
2022-06-21,69,82,47,60,13,2022-06-22
2022-06-22,75,51,48,36,12,2022-06-22
2022-06-23,77,54,43,24,11,2022-06-22
2022-06-24,66,49,34,19,7,2022-06-22
2022-06-25,69,31,27,15,5,2022-06-22
2022-06-26,57,35,36,16,5,2022-06-22
2022-06-27,65,57,37,18,6,2022-06-22
2022-06-28,63,51,43,20,7,2022-06-22
2022-06-29,63,51,38,22,6,2022-06-22
2022-06-30,80,49,37,22,6,2022-06-22
2022-07-01,68,89,33,27,7,2022-06-22
2022-07-02,50,38,29,17,3,2022-06-22
2022-07-03,68,44,31,22,5,2022-06-22
2022-07-04,70,52,35,20,6,2022-06-22
2022-07-05,68,66,38,17,7,2022-06-22
2022-07-06,58,71,44,17,6,2022-06-22
2022-07-07,57,75,36,16,6,2022-06-22
2022-10-17,100,91,58,48,33,2022-11-01
2022-10-18,94,70,59,57,31,2022-11-01
2022-10-19,81,71,68,42,27,2022-11-01
2022-10-20,84,78,76,100,43,2022-11-01
2022-10-21,80,77,75,95,44,2022-11-01
2022-10-22,86,47,49,50,25,2022-11-01
2022-10-23,77,52,46,35,24,2022-11-01
2022-10-24,91,82,57,48,39,2022-11-01
2022-10-25,84,89,75,33,21,2022-11-01
2022-10-26,80,82,61,32,35,2022-11-01
2022-10-27,77,81,64,28,46,2022-11-01
2022-10-28,73,72,63,25,33,2022-11-01
2022-10-29,64,50,47,16,11,2022-11-01
2022-10-30,57,49,35,15,13,2022-11-01
2022-10-31,69,85,64,20,26,2022-11-01
2022-11-01,75,86,53,21,39,2022-11-01
2022-11-02,62,69,52,18,79,2022-11-01
2022-11-03,66,49,64,16,100,2022-11-01
2022-11-04,67,54,47,16,32,2022-11-01
2022-11-05,67,38,38,15,14,2022-11-01
2022-11-06,65,44,40,15,12,2022-11-01
2022-11-07,76,100,100,18,20,2022-11-01
2022-11-08,69,77,76,19,15,2022-11-01
2022-11-09,82,76,79,18,17,2022-11-01
2022-11-10,91,75,66,24,22,2022-11-01
2022-11-11,89,50,48,24,22,2022-11-01
2022-11-12,83,32,33,16,11,2022-11-01
2022-11-13,80,49,40,16,10,2022-11-01
2022-11-14,85,64,49,18,15,2022-11-01
2022-11-15,75,57,42,17,16,2022-11-01
2022-11-16,80,80,42,18,14,2022-11-01
2023-01-22,50,87,30,67,14,2023-02-06
2023-01-23,72,76,37,88,25,2023-02-06
2023-01-24,65,65,32,73,31,2023-02-06
2023-01-25,100,72,37,82,17,2023-02-06
2023-01-26,90,100,33,73,22,2023-02-06
