Date,三菱商事 株価 掲示板,三菱商事 株価,original_event
2022-02-20,0,12,2022-03-07
2022-02-21,0,68,2022-03-07
2022-02-22,0,56,2022-03-07
2022-02-23,0,17,2022-03-07
2022-02-24,61,82,2022-03-07
2022-02-25,0,69,2022-03-07
2022-02-26,0,11,2022-03-07
2022-02-27,57,17,2022-03-07
2022-02-28,0,78,2022-03-07
2022-03-01,0,69,2022-03-07
2022-03-02,0,63,2022-03-07
2022-03-03,0,61,2022-03-07
2022-03-04,0,64,2022-03-07
2022-03-05,0,12,2022-03-07
2022-03-06,0,12,2022-03-07
2022-03-07,0,86,2022-03-07
2022-03-08,54,69,2022-03-07
2022-03-09,0,58,2022-03-07
2022-03-10,0,73,2022-03-07
2022-03-11,0,63,2022-03-07
2022-03-12,0,12,2022-03-07
2022-03-13,0,11,2022-03-07
2022-03-14,0,72,2022-03-07
2022-03-15,0,60,2022-03-07
2022-03-16,0,60,2022-03-07
2022-03-17,0,79,2022-03-07
2022-03-18,0,82,2022-03-07
2022-03-19,0,10,2022-03-07
2022-03-20,0,7,2022-03-07
2022-03-21,0,8,2022-03-07
2022-03-22,100,100,2022-03-07
2022-03-07,0,86,2022-03-22
2022-03-08,54,69,2022-03-22
2022-03-09,0,58,2022-03-22
2022-03-10,0,73,2022-03-22
2022-03-11,0,63,2022-03-22
2022-03-12,0,12,2022-03-22
2022-03-13,0,11,2022-03-22
2022-03-14,0,72,2022-03-22
2022-03-15,0,60,2022-03-22
2022-03-16,0,60,2022-03-22
2022-03-17,0,79,2022-03-22
2022-03-18,0,82,2022-03-22
2022-03-19,0,10,2022-03-22
2022-03-20,0,7,2022-03-22
2022-03-21,0,8,2022-03-22
2022-03-22,100,100,2022-03-22
2022-03-23,0,83,2022-03-22
2022-03-24,0,66,2022-03-22
2022-03-25,53,58,2022-03-22
2022-03-26,0,14,2022-03-22
2022-03-27,0,15,2022-03-22
2022-03-28,0,78,2022-03-22
2022-03-29,0,69,2022-03-22
2022-03-30,55,87,2022-03-22
2022-03-31,53,63,2022-03-22
2022-04-01,0,61,2022-03-22
2022-04-02,0,10,2022-03-22
2022-04-03,0,8,2022-03-22
2022-04-04,0,60,2022-03-22
2022-04-05,53,56,2022-03-22
2022-04-06,0,54,2022-03-22
2022-03-24,0,76,2022-04-08
2022-03-25,87,66,2022-04-08
2022-03-26,0,17,2022-04-08
2022-03-27,0,17,2022-04-08
2022-03-28,0,89,2022-04-08
2022-03-29,0,80,2022-04-08
2022-03-30,91,100,2022-04-08
2022-03-31,88,72,2022-04-08
2022-04-01,0,71,2022-04-08
2022-04-02,0,12,2022-04-08
2022-04-03,0,10,2022-04-08
2022-04-04,0,69,2022-04-08
2022-04-05,87,65,2022-04-08
2022-04-06,0,62,2022-04-08
2022-04-07,100,64,2022-04-08
2022-04-08,0,62,2022-04-08
2022-04-09,0,14,2022-04-08
2022-04-10,0,11,2022-04-08
2022-04-11,0,69,2022-04-08
2022-04-12,0,56,2022-04-08
2022-04-13,0,59,2022-04-08
2022-04-14,0,59,2022-04-08
2022-04-15,0,60,2022-04-08
2022-04-16,0,12,2022-04-08
2022-04-17,0,8,2022-04-08
2022-04-18,0,69,2022-04-08
2022-04-19,0,64,2022-04-08
2022-04-20,0,65,2022-04-08
2022-04-21,0,58,2022-04-08
2022-04-22,0,56,2022-04-08
2022-04-23,0,8,2022-04-08
2022-06-05,0,6,2022-06-20
2022-06-06,0,60,2022-06-20
2022-06-07,0,55,2022-06-20
2022-06-08,0,63,2022-06-20
2022-06-09,0,57,2022-06-20
2022-06-10,0,49,2022-06-20
2022-06-11,0,10,2022-06-20
2022-06-12,0,10,2022-06-20
2022-06-13,0,59,2022-06-20
2022-06-14,0,58,2022-06-20
2022-06-15,0,50,2022-06-20
2022-06-16,0,53,2022-06-20
2022-06-17,0,50,2022-06-20
2022-06-18,0,8,2022-06-20
2022-06-19,0,8,2022-06-20
2022-06-20,0,58,2022-06-20
2022-06-21,0,52,2022-06-20
2022-06-22,60,78,2022-06-20
2022-06-23,77,67,2022-06-20
2022-06-24,0,80,2022-06-20
2022-06-25,0,14,2022-06-20
2022-06-26,0,11,2022-06-20
2022-06-27,0,67,2022-06-20
2022-06-28,0,65,2022-06-20
2022-06-29,0,58,2022-06-20
2022-06-30,0,43,2022-06-20
2022-07-01,100,100,2022-06-20
2022-07-02,0,18,2022-06-20
2022-07-03,0,13,2022-06-20
2022-07-04,50,78,2022-06-20
2022-07-05,0,62,2022-06-20
2022-06-07,0,55,2022-06-22
2022-06-08,0,63,2022-06-22
2022-06-09,0,57,2022-06-22
